Local Government ​Area,Lat,Long,State,Mar-26,Mar-27,Mar-28,Notes,NewToday,Label
Goldfields-Esperance,-30.75817,121.56458,Western Australia,1,3,3,Region,0,3
Great Southern,-34.99937,117.84405,Western Australia,2,2,2,Region,0,2
Kimberley,-17.86116,122.35379,Western Australia,3,3,3,Region,0,3
Mid West,-28.79120,114.79998,Western Australia,2,2,2,Region,0,2
Peel,-32.60907,115.92741,Western Australia,0,0,0,Region,0,0
Perth,-31.95763,115.85066,Western Australia,213,232,232,Region,0,232
Pilbara,-20.38991,118.61070,Western Australia,2,4,4,Region,0,4
South West,-33.87850,115.58918,Western Australia,6,8,8,Region,0,8
Wheatbelt,-31.55481,117.92929,Western Australia,2,2,2,Region,0,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Albury,6,,,,,,,,
Ballina,2,,,,,,,,
Bathurst Regional,7,,,,,,,,
Bayside,19,,,,,,,,
Bega Valley,8,,,,,,,,
Blacktown,40,,,,,,,,
Blayney,2,,,,,,,,
Blue Mountains,15,,,,,,,,
Burwood,2,,,,,,,,
Byron,5,,,,,,,,
Cabonne​,2,,,,,,,,
Camden,22,,,,,,,,
Campbelltown ,19,,,,,,,,
Canada Bay,9,,,,,,,,
Canterbury-Bankstown,53,,,,,,,,
Central Coast ,68,,,,,,,,
Cessnock,12,,,,,,,,
Clarence Valley,7,,,,,,,,
Coffs Harbour,5,,,,,,,,
Cootamundra-Gundagai Regional,2,,,,,,,,
Cumberland,31,,,,,,,,
Dubbo Regional,5,,,,,,,,
Dungog,2,,,,,,,,
Eurobodalla,6,,,,,,,,
Fairfield,8,,,,,,,,
Federation,5,,,,,,,,
Georges River,18,,,,,,,,
Glen Innes Severn,2,,,,,,,,
Goulburn Mulwaree,6,,,,,,,,
Greater Hume Shire,2,,,,,,,,
Griffith,2,,,,,,,,
Hawkesbury,17,,,,,,,,
Hornsby,37,,,,,,,,
Hunters Hill,11,,,,,,,,
Inner West,44,,,,,,,,
Inverell,2,,,,,,,,
Kempsey,2,,,,,,,,
Kiama,2,,,,,,,,
Ku-ring-gai,35,,,,,,,,
Lake Macquarie,27,,,,,,,,
Lane Cove,21,,,,,,,,
Lismore,2,,,,,,,,
Lithgow,2,,,,,,,,
Liverpool,24,,,,,,,,
Liverpool Plains,2,,,,,,,,
Maitland,19,,,,,,,,
Mid-Coast,27,,,,,,,,
Mid-Western Regional,2,,,,,,,,
Mosman,28,,,,,,,,
Murrumbidgee,2,,,,,,,,
Muswellbrook,2,,,,,,,,
Nambucca,2,,,,,,,,
Narrabri,2,,,,,,,,
Narromine,2,,,,,,,,
Newcastle,31,,,,,,,,
North Sydney,29,,,,,,,,
Northern Beaches,85,,,,,,,,
Orange,6,,,,,,,,
Parramatta,29,,,,,,,,
Penrith,36,,,,,,,,
Port Macquarie-Hastings,14,,,,,,,,
Port Stephens,17,,,,,,,,
Queanbeyan-Palerang Regional,8,,,,,,,,
Randwick,44,,,,,,,,
Ryde,40,,,,,,,,
Shellharbour,13,,,,,,,,
Shoalhaven,14,,,,,,,,
Singleton,2,,,,,,,,
Snowy Monaro Regional,5,,,,,,,,
Strathfield,2,,,,,,,,
Sutherland Shire,44,,,,,,,,
Sydney,83,,,,,,,,
Tamworth Regional,9,,,,,,,,
Tenterfield,2,,,,,,,,
The Hills Shire,27,,,,,,,,
Tweed,12,,,,,,,,
Upper Hunter Shire,2,,,,,,,,
Upper Lachlan Shire,2,,,,,,,,
Wagga Wagga,2,,,,,,,,
Warren,2,,,,,,,,
Warrumbungle Shire,2,,,,,,,,
Waverley,131,,,,,,,,
Weddin,2,,,,,,,,
Willoughby,17,,,,,,,,
Wingecarribee,14,,,,,,,,
Wollondilly,2,,,,,,,,
Wollongong,32,,,,,,,,
Woollahra,69,,,,,,,,
Yass Valley,2,,,,,,,,
