LGA,Lat,Long,22-Jan,24-Jan,25-Jan,21-Feb,26-Feb,27-Feb,29-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar
Snowy River,-36.3557,148.6777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,7
Strathfield,-33.8808,151.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,5,5,5,5,5,2
Sutherland Shire,-34.072,151.023,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,4,4,4,4,6,6,7,10,13,14,18,25,25,35,39,40,46,49,53,57,58,60
Sydney,-33.8892,151.2028,0,0,0,2,2,2,2,2,2,2,2,3,4,4,4,6,6,7,8,11,13,15,19,26,32,36,41,43,50,61,67,73,82,93,95,101,108
Tamworth Regional,-30.8924,150.9071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,9,10,11,12,12,13,13
Temora,-34.3879,147.4837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenterfield,-28.9438,152.0865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,2
The Hills Shire,-33.531,150.961,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,4,6,7,7,9,10,10,15,16,21,23,26,28,32,36,38,43
Tumbarumba,-36.0299,148.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumut Shire,-35.4469,148.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tweed,-28.36,153.3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,9,10,12,12,12,12,12,12
Upper Hunter Shire,-31.9815,151.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Upper Lachlan Shire,-34.4176,149.4557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2
Uralla,-30.5078,151.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urana,-35.266,146.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,6,6,7
Wagga Wagga,-35.1966,147.3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,6,6,9
Wakool,-35.1795,143.9085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walcha,-31.1639,151.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walgett,-29.7905,148.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,-31.56,147.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Warringah,-33.7101,151.2299,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,5,5,6,9,14,17,20,29,39,42,53,57,69,77,88,90,98,102,110
Warrumbungle Shire,-31.647,149.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2
Waverley,-33.8896,151.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,12,13,18,23,30,38,63,71,83,97,109,119,131,137,138,138,141
Weddin,-33.8724,148.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Wellington,-32.575,148.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth,-33.671,142.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willoughby,-33.8009,151.1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,6,6,6,9,9,12,14,14,15,15,18,19,19,20
Wingecarribee,-34.4769,150.3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,6,7,7,10,10,12,13,13,14,14,15,16,17,18
Wollondilly,-34.0695,150.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,2
